iter	RMSE
0	8295.860172
1	7868.858492
2	7522.523472
3	7184.907706
4	6880.426634
5	6600.672665
6	6374.51201
7	6167.251646
8	5991.026887
9	5837.155409
10	5712.471062
11	5568.043265
12	5444.179703
13	5343.929933
14	5263.42721
15	5181.536214
16	5099.160424
17	5033.879181
18	4974.406483
19	4922.069317
20	4893.835156
21	4858.31491
22	4809.81577
23	4771.827018
24	4732.370808
25	4705.558931
26	4675.263032
27	4642.308252
28	4614.127218
29	4574.469677
30	4552.229046
31	4529.867393
32	4510.851692
33	4488.172948
34	4473.011603
35	4460.004934
36	4449.264233
37	4434.427076
38	4425.504903
39	4407.253778
40	4398.688749
41	4386.937442
42	4376.991597
43	4366.158469
44	4356.351516
45	4344.789171
46	4330.808559
47	4323.140056
48	4318.326722
49	4306.909014
50	4295.000699
51	4282.191754
52	4272.902863
53	4264.790651
54	4260.855968
55	4253.330141
56	4250.769665
57	4245.83948
58	4235.548131
59	4228.14758
60	4225.091269
61	4215.282803
62	4207.777614
63	4203.14356
64	4198.174429
65	4182.201255
66	4175.004503
67	4164.380186
68	4154.972648
69	4150.312621
70	4136.246626
71	4127.369866
72	4115.032526
73	4105.500726
74	4103.898325
75	4098.272883
76	4083.569661
77	4079.149074
78	4075.15567
79	4069.739621
80	4060.085092
81	4052.552935
82	4043.699529
83	4031.042238
84	4027.094113
85	4022.965363
86	4012.085254
87	4010.430094
88	4004.518917
89	3995.499706
90	3991.688033
91	3981.277685
92	3974.60645
93	3970.080292
94	3963.640082
95	3957.51668
96	3950.969177
97	3944.921451
98	3942.107495
99	3941.724235
100	3929.806038
101	3920.70687
102	3917.088987
103	3914.095668
104	3911.563532
105	3909.766714
106	3906.62231
107	3903.118617
108	3899.897774
109	3899.435392
110	3896.57996
111	3892.595309
112	3888.656843
113	3882.056642
114	3878.623609
115	3875.343914
116	3867.745547
117	3863.848205
118	3860.882134
119	3856.636402
120	3854.342682
121	3853.612833
122	3845.956334
123	3844.593851
124	3839.29078
125	3836.192325
126	3830.53603
127	3824.722238
128	3821.667502
129	3818.188889
130	3813.833615
131	3809.797735
132	3801.733423
133	3793.071535
134	3789.337551
135	3785.058876
136	3779.770107
137	3774.190325
138	3771.482741
139	3763.216523
140	3759.957383
141	3759.949107
142	3756.536877
143	3750.152707
144	3745.642341
145	3741.754431
146	3736.309718
147	3731.837977
148	3729.257272
149	3726.038719
150	3715.202474
151	3704.669007
152	3698.945615
153	3694.693987
154	3692.036266
155	3688.708575
156	3683.461027
157	3679.961734
158	3673.992067
159	3668.192428
160	3663.328061
161	3657.814027
162	3649.312094
163	3642.529797
164	3636.155862
165	3628.799607
166	3622.016345
167	3612.430249
168	3603.280237
169	3594.57899
170	3590.475453
171	3585.362291
172	3579.35671
173	3571.221762
174	3566.527235
175	3559.683196
176	3550.277914
177	3541.980012
178	3536.17009
179	3530.085205
180	3526.086316
181	3516.60578
182	3509.311471
183	3503.392427
184	3496.300526
185	3492.300673
186	3484.329463
187	3478.439673
188	3473.434626
189	3469.517358
190	3465.391936
191	3459.562903
192	3454.937507
193	3448.049138
194	3442.699167
195	3433.186267
196	3422.49424
197	3418.606761
198	3415.724955
199	3409.311051
200	3405.762134
201	3400.791265
202	3395.176127
203	3390.686451
204	3382.905882
205	3375.616238
206	3366.780478
207	3360.544932
208	3354.538284
209	3348.947233
210	3343.585764
211	3337.73273
212	3334.073637
213	3328.358822
214	3323.809478
215	3317.450215
216	3312.518233
217	3308.699194
218	3301.116393
219	3297.81367
220	3292.263956
