iter	Passed	Remaining
0	7	1732
1	13	1591
2	20	1592
3	26	1508
4	33	1497
5	40	1526
6	48	1539
7	55	1544
8	62	1543
9	69	1525
10	74	1494
11	81	1488
12	88	1486
13	95	1478
14	102	1481
15	110	1479
16	116	1465
17	122	1452
18	129	1439
19	135	1426
20	140	1405
21	147	1403
22	154	1398
23	161	1395
24	168	1387
25	174	1376
26	182	1376
27	190	1381
28	198	1386
29	206	1384
30	213	1377
31	220	1372
32	226	1360
33	232	1347
34	238	1336
35	244	1324
36	251	1319
37	258	1311
38	264	1303
39	270	1290
40	275	1278
41	282	1269
42	290	1268
43	296	1260
44	302	1249
45	309	1243
46	314	1231
47	321	1225
48	328	1220
49	335	1212
50	340	1203
51	347	1194
52	353	1187
53	359	1177
54	366	1174
55	372	1165
56	377	1151
57	384	1146
58	389	1136
59	395	1128
60	402	1120
61	409	1115
62	415	1108
63	420	1097
64	426	1090
65	433	1084
66	439	1076
67	447	1072
68	453	1064
69	459	1056
70	466	1050
71	472	1044
72	478	1036
73	486	1032
74	491	1023
75	499	1017
76	505	1011
77	511	1003
78	519	998
79	525	992
80	533	987
81	540	981
82	546	974
83	553	969
84	559	961
85	567	956
86	573	949
87	580	942
88	586	935
89	593	929
90	599	921
91	606	916
92	613	911
93	619	903
94	625	895
95	632	889
96	638	881
97	645	875
98	650	867
99	654	857
100	661	851
101	668	845
102	674	838
103	679	829
104	686	823
105	691	815
106	697	808
107	704	801
108	711	795
109	715	787
110	722	781
111	730	776
112	736	769
113	742	762
114	749	756
115	755	748
116	761	742
117	768	735
118	774	728
119	781	722
120	787	715
121	791	707
122	797	700
123	803	692
124	809	686
125	815	679
126	822	673
127	829	667
128	834	659
129	841	653
130	848	647
131	854	640
132	860	633
133	867	628
134	872	620
135	878	613
136	885	607
137	892	601
138	898	594
139	905	588
140	912	582
141	915	573
142	921	567
143	928	561
144	934	554
145	940	547
146	947	541
147	952	534
148	958	527
149	966	521
150	972	515
151	979	509
152	986	503
153	992	496
154	998	489
155	1005	483
156	1011	476
157	1017	469
158	1022	463
159	1028	456
160	1034	449
161	1040	443
162	1047	437
163	1053	430
164	1060	424
165	1066	417
166	1072	410
167	1079	404
168	1086	398
169	1092	392
170	1098	385
171	1105	379
172	1112	372
173	1118	366
174	1126	360
175	1132	353
176	1138	347
177	1145	341
178	1151	334
179	1156	327
180	1164	321
181	1170	315
182	1177	308
183	1184	302
184	1190	296
185	1198	289
186	1206	283
187	1211	277
188	1218	270
189	1224	264
190	1231	257
191	1236	251
192	1245	245
193	1251	238
194	1258	232
195	1264	225
196	1271	219
197	1276	212
198	1284	206
199	1291	200
200	1298	193
201	1304	187
202	1309	180
203	1315	174
204	1322	167
205	1328	161
206	1335	154
207	1341	148
208	1347	141
209	1354	135
210	1362	129
211	1370	122
212	1376	116
213	1381	109
214	1387	103
215	1393	96
216	1401	90
217	1407	83
218	1413	77
219	1421	71
220	1427	64
